Chemical Shift (ppm),Intensity,Integral
1.984,0.1,7.44
1.985,0.1,7.44
1.986,0.1,7.44
1.987,0.1,7.44
1.988,0.1,7.44
1.989,0.09,7.44
1.99,0.09,7.44
1.991,0.09,7.44
1.992,0.08,7.44
1.993,0.08,7.44
1.994,0.08,7.44
1.995,0.08,7.44
1.996,0.07,7.44
1.997,0.07,7.44
1.998,0.06,7.44
1.999,0.07,7.44
2.0,0.07,7.44
2.001,0.07,7.44
2.002,0.08,7.44
2.003,0.07,7.44
2.004,0.07,7.44
2.005,0.07,7.44
2.006,0.07,7.44
2.007,0.07,7.44
2.008,0.08,7.44
2.009,0.08,7.43
2.01,0.07,7.43
2.011,0.07,7.43
2.012,0.07,7.43
2.013,0.06,7.43
2.014,0.06,7.43
2.015,0.06,7.43
2.016,0.06,7.43
2.017,0.06,7.43
2.018,0.06,7.43
2.019,0.06,7.43
2.02,0.06,7.43
2.021,0.06,7.43
2.022,0.06,7.43
2.023,0.06,7.43
2.024,0.07,7.43
2.025,0.07,7.43
2.026,0.07,7.43
2.027,0.06,7.43
2.028,0.06,7.43
